prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,4032.14,10.81,646.96,0.74,1.56,0.0,15.85,100,0.0
short_02,short,False,3,2918.15,19.4,646.74,0.68,1.56,0.0,15.85,100,0.0
short_03,short,False,3,6266.44,19.42,647.42,0.2,1.56,0.0,15.85,100,0.0
short_04,short,False,3,9633.64,5.22,647.86,0.19,1.56,0.0,15.85,100,0.0
short_05,short,False,3,5699.63,5.71,647.32,0.26,1.56,0.0,15.85,100,0.0
short_06,short,False,3,7938.41,7.19,647.72,0.27,1.56,0.0,15.85,100,0.0
short_07,short,False,3,4580.95,4.5,647.43,0.35,1.56,0.0,15.85,100,0.0
short_08,short,False,3,4593.15,20.1,647.37,0.27,1.56,0.0,15.85,100,0.0
short_09,short,False,3,4592.6,8.38,647.39,0.25,1.56,0.0,15.85,100,0.0
short_10,short,False,3,6816.16,7.27,647.7,0.27,1.56,0.0,15.85,100,0.0
medium_reasoning_01,medium,True,3,11320.21,22.09,648.42,0.24,1.56,0.0,15.85,100,0.0
medium_02,medium,False,3,13544.49,6.52,648.86,0.24,1.56,0.0,15.85,100,0.0
medium_03,medium,False,3,14067.08,23163.23,654.14,3.16,1.55,0.01,15.85,100,0.0
medium_04,medium,False,3,18020.71,3.91,649.53,0.24,1.56,0.01,15.85,100,0.0
medium_05,medium,False,3,7211.05,11309.41,652.08,4.15,1.55,0.01,15.85,100,0.0
medium_06,medium,False,3,6649.13,10344.36,651.92,4.62,1.55,0.01,15.85,100,0.0
medium_07,medium,False,3,9280.74,14877.21,652.61,3.59,1.55,0.01,15.85,100,0.0
medium_08,medium,False,3,17459.82,4.07,649.46,0.27,1.56,0.01,15.85,100,0.0
medium_09,medium,False,3,7395.87,11636.46,652.08,4.24,1.55,0.01,15.85,100,0.0
medium_10,medium,False,3,7405.83,11627.68,652.65,5.08,1.55,0.02,15.23,100,0.0
long_context_01,long,True,3,29491.64,49861.77,671.2,11.55,1.51,0.03,15.23,100,0.0
long_02,long,False,3,46828.42,79866.06,678.01,8.29,1.49,0.02,15.23,100,0.0
long_03,long,False,3,56068.24,95860.3,686.34,8.48,1.47,0.02,15.23,100,0.0
long_04,long,False,3,70218.31,120215.68,679.36,9.81,1.49,0.02,15.23,100,0.0
long_05,long,False,3,64626.26,110683.03,680.81,10.46,1.48,0.02,15.23,100,0.0
long_06,long,False,3,65205.25,111658.63,678.55,10.46,1.49,0.03,15.23,100,0.0
long_07,long,False,3,66308.85,113602.06,680.27,9.75,1.48,0.02,15.23,100,0.0
long_08,long,False,3,65764.49,112666.51,679.57,11.55,1.49,0.03,15.23,100,0.0
long_09,long,False,3,71354.71,122318.62,681.51,12.86,1.48,0.03,14.13,100,0.0
long_10,long,False,3,71294.1,122226.39,679.3,10.45,1.49,0.02,14.13,100,0.0
