user,system,iowait
2.0,0.0,0.0
8.6,0.7,0.0
12.3,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.3,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.2,0.0
0.6,0.6,0.0
0.4,0.6,0.0
0.7,0.4,0.0
0.5,0.8,0.0
0.4,0.5,0.0
0.3,0.3,0.0
0.1,0.2,0.0
0.1,0.4,0.0
8.4,0.2,0.0
0.1,0.3,0.0
0.1,0.1,0.0
0.1,0.2,0.0
0.2,0.3,0.0
0.4,0.2,0.0
0.2,0.1,0.0
0.3,0.2,0.0
0.3,0.2,0.0
0.3,0.4,0.0
0.1,0.1,0.0
0.2,0.4,0.0
0.1,0.3,0.0
0.4,0.4,0.0
0.1,0.3,0.0
0.2,0.1,0.0
0.2,0.4,0.0
0.4,0.2,0.0
0.7,0.6,0.0
1.0,0.5,0.0
0.9,0.6,0.0
0.7,0.7,0.0
1.6,0.2,0.0
0.5,1.0,0.0
11.4,0.4,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.5,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.8,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.5,0.0,0.0
17.5,0.1,0.0
16.5,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.1,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
17.0,0.2,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.1,0.0
14.3,0.1,0.0
8.4,0.1,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.6,0.1,0.0
16.5,0.1,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
17.2,0.1,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.8,0.1,0.0
16.6,0.1,0.0
16.8,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.9,0.0,0.0
16.7,0.1,0.0
16.7,0.0,0.0
16.7,0.1,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.1,0.0
16.7,0.3,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.6,0.1,0.0
16.7,0.0,0.0
16.4,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
7.2,0.3,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
17.0,0.2,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.6,0.1,0.0
16.7,0.0,0.0
16.6,0.1,0.0
16.6,0.1,0.0
16.6,0.0,0.0
16.7,0.0,0.0
17.2,0.1,0.0
16.5,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.4,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.6,0.1,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.5,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
7.0,0.5,0.0
13.1,0.2,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.8,0.0,0.0
16.6,0.0,0.0
16.5,0.0,0.0
16.7,0.0,0.0
16.5,0.0,0.0
16.5,0.0,0.0
16.7,0.0,0.0
16.8,0.0,0.0
16.9,0.1,0.0
16.7,0.0,0.0
16.8,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.6,0.0,0.0
16.5,0.1,0.0
16.8,0.1,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.5,0.1,0.0
16.8,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
17.0,0.1,0.0
16.7,0.0,0.0
16.4,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
6.9,0.2,0.0
16.7,0.0,0.0
16.5,0.0,0.0
16.7,0.0,0.0
16.6,0.1,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.8,0.1,0.0
16.7,0.0,0.0
16.8,0.0,0.0
16.7,0.1,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.5,0.0,0.0
16.7,0.0,0.0
16.5,0.0,0.0
16.7,0.0,0.0
16.8,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.9,0.1,0.0
16.5,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.6,0.1,0.0
16.7,0.1,0.0
16.8,0.0,0.0
16.7,0.0,0.0
13.7,0.2,0.0
10.0,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
17.3,0.2,0.0
16.7,0.0,0.0
16.7,0.1,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.8,0.0,0.0
16.7,0.0,0.0
16.7,0.1,0.0
16.7,0.0,0.0
16.5,0.0,0.0
17.7,0.2,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.6,0.0,0.0
16.6,0.0,0.0
17.5,0.6,0.0
18.7,0.1,0.0
17.4,0.1,0.0
16.7,0.0,0.0
16.7,0.0,0.0
16.5,0.0,0.0
16.7,0.0,0.0
16.7,0.0,0.0
17.2,0.1,0.0
16.7,0.0,0.0
7.4,0.2,0.0
