prompt_id,category,mandatory,num_trials,ttft_mean_ms,ttft_std_ms,tpot_mean_ms,tpot_std_ms,decode_tps_mean,decode_tps_std,memory_mb_mean,output_tokens_mean,goodput_percent
short_baseline_01,short,True,3,2042.31,24.28,329.05,0.13,3.07,0.0,17.96,100,0.0
short_02,short,False,3,1470.22,5.76,328.97,0.09,3.07,0.0,17.96,100,0.0
short_03,short,False,3,3144.42,0.63,329.29,0.07,3.07,0.0,17.96,100,0.0
short_04,short,False,3,4844.85,17.31,329.58,0.08,3.06,0.01,17.96,100,0.0
short_05,short,False,3,2877.69,22.2,329.2,0.05,3.07,0.0,17.96,100,0.0
short_06,short,False,3,3979.67,1.12,329.43,0.08,3.07,0.0,17.96,100,0.0
short_07,short,False,3,2302.5,0.95,329.2,0.08,3.07,0.0,17.96,100,0.0
short_08,short,False,3,2302.74,1.13,329.24,0.09,3.07,0.0,17.96,100,0.0
short_09,short,False,3,2302.16,0.94,329.22,0.05,3.07,0.0,17.96,100,0.0
short_10,short,False,3,3425.72,3.92,329.39,0.08,3.07,0.0,17.96,100,0.0
medium_reasoning_01,medium,True,3,5674.13,6.75,329.83,0.02,3.06,0.0,17.96,100,0.0
medium_02,medium,False,3,6786.87,2.2,330.01,0.08,3.06,0.0,17.96,100,0.0
medium_03,medium,False,3,7054.83,11587.41,334.68,4.51,3.02,0.04,17.96,100,0.0
medium_04,medium,False,3,9033.1,3.74,330.45,0.09,3.06,0.0,17.96,100,0.0
medium_05,medium,False,3,3623.04,5657.98,333.32,4.8,3.03,0.04,17.96,100,0.0
medium_06,medium,False,3,3343.51,5174.22,333.43,5.31,3.03,0.05,17.96,100,0.0
medium_07,medium,False,3,4653.01,7434.81,335.4,7.47,3.01,0.06,16.46,100,0.0
medium_08,medium,False,3,8763.86,9.11,331.66,2.11,3.05,0.02,16.46,100,0.0
medium_09,medium,False,3,3729.98,5844.0,333.39,4.89,3.03,0.04,16.46,100,0.0
medium_10,medium,False,3,3716.18,5819.94,333.57,5.17,3.03,0.04,16.46,100,0.0
long_context_01,long,True,3,14776.76,24951.69,341.63,5.31,2.96,0.05,16.46,100,0.0
long_02,long,False,3,23459.05,39947.35,345.93,3.0,2.92,0.03,16.46,100,0.0
long_03,long,False,3,28069.83,47940.02,350.17,0.53,2.89,0.01,16.46,100,0.0
long_04,long,False,3,35125.42,60148.52,352.41,3.97,2.87,0.03,16.46,100,0.0
long_05,long,False,3,32359.6,55360.62,352.02,2.01,2.87,0.02,16.46,100,0.0
long_06,long,False,3,32654.09,55854.78,352.56,4.16,2.87,0.03,16.46,100,0.0
long_07,long,False,3,33211.85,56807.42,351.4,2.09,2.88,0.02,16.4,100,0.0
long_08,long,False,3,32925.61,56329.56,352.47,3.97,2.86,0.03,16.4,100,0.0
long_09,long,False,3,35689.05,61124.15,351.87,1.87,2.87,0.02,16.4,100,0.0
long_10,long,False,3,35698.0,61121.92,352.09,4.27,2.87,0.03,16.35,100,0.0
